horizon,pos_rate,PR_AUC,PR_AUC_lift,ROC_AUC,MCC,bal_acc,F1,Brier
y_30d,0.16,0.237,0.077,0.597,0.111,0.575,0.302,0.239
y_60d,0.282,0.483,0.201,0.638,0.138,0.577,0.445,0.238
y_90d,0.355,0.516,0.16,0.613,0.137,0.571,0.504,0.243
